# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.099147
# Diagonal elements of inverse mass matrix:
# 0.254257, 0.0868882
515.592,0.870731,0.099147,4,27,0,-514.861,3.45278,-0.227565,23.2252,22.6656,21.8741,21.4479,21.1619,20.9846,21.1101,20.8371,20.0114,20.2167
515.817,1,0.099147,2,3,0,-515.376,3.48078,-0.132332,27.1653,26.7828,26.2348,25.9364,25.7347,25.6091,25.698,25.5042,24.9116,25.0598
515.491,0.547907,0.099147,2,3,0,-513.453,3.40967,-0.203524,22.9798,22.484,21.7804,21.4005,21.1452,20.9866,21.0988,20.8546,20.1139,20.2984
516.438,0.975915,0.099147,4,31,0,-514.363,4.29931,-0.698223,28.6657,26.5989,23.8504,22.4532,21.5473,20.9981,21.3857,20.5484,18.151,18.7283
516.156,0.939924,0.099147,4,19,0,-515.684,3.98102,-0.528162,26.2387,24.7948,22.8312,21.812,21.143,20.7341,21.023,20.3973,18.5703,19.0154
515.221,0.765942,0.099147,4,27,0,-510.745,3.37239,-0.0604276,26.8625,26.6891,26.4383,26.3005,26.207,26.1485,26.1899,26.0995,25.8208,25.8909
516.509,0.934801,0.099147,2,3,0,-515.061,3.32804,-0.108062,24.0949,23.8174,23.4188,23.201,23.0536,22.9616,23.0267,22.8848,22.4496,22.5587
516.493,0.997343,0.099147,3,11,0,-516.32,3.30281,-0.0780586,24.4669,24.263,23.969,23.8078,23.6984,23.6301,23.6785,23.573,23.2483,23.3298
516.511,0.993624,0.099147,2,7,0,-516.428,3.31579,-0.09678,24.1672,23.9178,23.559,23.3627,23.2297,23.1467,23.2055,23.0773,22.6839,22.7826
516.412,0.998964,0.099147,2,7,0,-516.368,3.28973,-0.0620174,24.6782,24.5147,24.2784,24.1485,24.0603,24.0052,24.0443,23.9591,23.6966,23.7626
515.984,0.93734,0.099147,2,7,0,-515.81,3.21144,-0.0603233,22.8722,22.7248,22.5116,22.3945,22.315,22.2653,22.3005,22.2237,21.9867,22.0463
515.65,0.852488,0.099147,2,3,0,-514.704,3.3298,-0.0482866,26.1681,26.033,25.8374,25.7298,25.6566,25.6108,25.6432,25.5725,25.3541,25.409
515.65,0.443331,0.099147,1,1,0,-513.945,3.3298,-0.0482866,26.1681,26.033,25.8374,25.7298,25.6566,25.6108,25.6432,25.5725,25.3541,25.409
516.615,0.998017,0.099147,4,23,0,-515.052,3.8243,-0.343719,28.7829,27.742,26.2917,25.5219,25.0097,24.6938,24.9172,24.432,22.9846,23.3417
515,0.804284,0.099147,4,23,0,-514.397,3.64733,-0.358152,23.6486,22.7581,21.5198,20.8636,20.4275,20.1588,20.3488,19.9361,18.707,19.0099
515.572,1,0.099147,2,3,0,-514.822,3.66505,-0.356712,24.1183,23.2137,21.9556,21.2887,20.8455,20.5724,20.7655,20.3461,19.0966,19.4045
516.647,1,0.099147,1,1,0,-515.846,3.69577,-0.343661,25.3133,24.398,23.1228,22.4458,21.9954,21.7177,21.9141,21.4875,20.2147,20.5287
516.969,0.956825,0.099147,2,3,0,-516.418,3.76467,-0.327169,27.7301,26.7747,25.4407,24.7311,24.2585,23.9668,24.1731,23.7249,22.385,22.7159
517.111,1,0.099147,2,3,0,-516.995,3.75726,-0.338443,27.1092,26.1435,24.7973,24.0821,23.6062,23.3126,23.5202,23.0692,21.7229,22.0551
517.187,0.999763,0.099147,4,27,0,-516.877,3.93937,-0.447176,28.0794,26.7654,24.9596,24.013,23.3879,23.0044,23.2754,22.6876,20.9547,21.3792
517.058,0.973977,0.099147,4,19,0,-517.003,4.00082,-0.503764,27.6606,26.2069,24.2236,23.1912,22.5122,22.0968,22.3903,21.7543,19.8917,20.3463
516.968,0.995846,0.099147,4,23,0,-516.893,3.82975,-0.362473,28.216,27.1409,25.6469,24.8555,24.3298,24.0059,24.2349,23.7376,22.257,22.6218
516.945,0.971825,0.099147,4,19,0,-516.688,4.01319,-0.465734,29.4819,28.0464,26.0785,25.0492,24.3705,23.9544,24.2484,23.6109,21.7358,22.1946
