# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0986695
# Diagonal elements of inverse mass matrix:
# 0.243526, 0.0825443
516.618,0.999593,0.0986695,5,51,0,-515.565,4.54943,-0.797251,32.2008,29.5637,26.102,24.3633,23.2442,22.569,23.0453,22.0179,19.1098,19.8055
516.4,0.921656,0.0986695,2,3,0,-516.133,4.56643,-0.789198,33.1112,30.4258,26.897,25.1228,23.9802,23.2905,23.7771,22.7275,19.7539,20.4656
516.579,1,0.0986695,2,7,0,-516.304,4.56899,-0.808573,32.3383,29.654,26.1354,24.3706,23.2357,22.5513,23.0341,21.9929,19.0498,19.7532
516.555,0.958704,0.0986695,5,35,0,-515.288,3.38083,-0.144063,24.1949,23.8242,23.294,23.0057,22.811,22.6898,22.7756,22.5887,22.0179,22.1606
515.503,0.733466,0.0986695,1,3,0,-514.943,3.44875,-0.107564,27.2044,26.8926,26.4445,26.1997,26.034,25.9307,26.0038,25.8443,25.3551,25.4777
513.68,0.738254,0.0986695,4,23,0,-511.404,3.91546,-0.538049,24.2475,22.8889,21.0437,20.0872,19.4597,19.0764,19.3472,18.7608,17.0503,17.4668
515.847,1,0.0986695,1,1,0,-514.144,3.9559,-0.521503,25.8191,24.4156,22.5055,21.5133,20.8616,20.4632,20.7447,20.135,18.3531,18.7874
516.776,1,0.0986695,1,1,0,-516.065,3.98648,-0.510822,27.0079,25.569,23.6081,22.588,21.9176,21.5075,21.7973,21.1695,19.3328,19.7808
515.937,0.973988,0.0986695,4,23,0,-514.859,4.57138,-0.772993,34.0123,31.3082,27.7471,25.9532,24.7965,24.0978,24.5908,23.5271,20.5079,21.2313
516.208,1,0.0986695,1,1,0,-515.91,4.57018,-0.782207,33.551,30.8531,27.3045,25.5189,24.3683,23.6736,24.1637,23.1063,20.1081,20.8261
516.599,0.984211,0.0986695,1,3,0,-516.09,4.54383,-0.81032,31.4604,28.8436,25.4142,23.6946,22.5887,21.922,22.3923,21.378,18.5114,19.1965
517.137,0.98636,0.0986695,5,35,0,-516.221,4.11029,-0.540915,29.3493,27.6963,25.4522,24.2892,23.5265,23.0607,23.3898,22.6771,20.5991,21.1049
517.142,0.999999,0.0986695,5,41,0,-517.093,3.82123,-0.374249,27.5349,26.4524,24.9503,24.1559,23.6285,23.3038,23.5334,23.0349,21.553,21.9178
516.964,0.993986,0.0986695,4,21,0,-516.892,3.64775,-0.267123,26.7556,26.0005,24.9379,24.3685,23.9876,23.7518,23.9186,23.5559,22.464,22.7348
516.811,0.999154,0.0986695,5,35,0,-516.174,4.41475,-0.712921,31.5407,29.2207,26.1412,24.5784,23.5664,22.9533,23.386,22.4514,19.7803,20.4229
516.519,0.975244,0.0986695,3,11,0,-516.381,4.53509,-0.774793,32.7206,30.1134,26.6807,24.9519,23.8373,23.164,23.639,22.6142,19.7058,20.4026
517.164,0.986415,0.0986695,4,27,0,-515.569,4.0352,-0.511431,28.3331,26.8219,24.7625,23.6913,22.9874,22.5567,22.861,22.2018,20.2733,20.7437
514.605,0.714465,0.0986695,5,35,0,-513.465,3.91184,-0.349521,31.1707,30.0246,28.4293,27.583,27.0202,26.6732,26.9186,26.3857,24.7969,25.1887
515.196,0.998431,0.0986695,5,39,0,-513.859,3.18214,-0.0683421,21.9723,21.8119,21.5803,21.4532,21.3669,21.313,21.3511,21.2678,21.0111,21.0756
515.646,0.996916,0.0986695,3,15,0,-514.511,3.40876,-0.0896196,26.7798,26.5238,26.1551,25.9532,25.8164,25.731,25.7915,25.6596,25.2542,25.3559
516.568,1,0.0986695,2,3,0,-515.693,3.35805,-0.125205,24.2603,23.9369,23.4733,23.2206,23.0497,22.9433,23.0186,22.8544,22.3516,22.4774
516.399,0.896758,0.0986695,2,3,0,-515.967,3.37123,-0.147881,23.8404,23.4655,22.9297,22.6383,22.4417,22.3194,22.406,22.2172,21.6411,21.7851
515.445,0.96436,0.0986695,5,43,0,-514.019,4.87067,-0.957104,35.7733,32.2858,27.8024,25.5942,24.1894,23.3483,23.9412,22.6656,19.1211,19.9597
515.641,0.732423,0.0986695,2,7,0,-513.182,4.80262,-0.917252,35.2691,31.967,27.6997,25.5877,24.2402,23.4319,24.0018,22.7748,19.3498,20.1624
515.885,1,0.0986695,1,1,0,-515.671,4.79753,-0.926143,34.671,31.395,27.1663,25.0757,23.7427,22.9434,23.5068,22.2939,18.9112,19.7133
515.862,0.997488,0.0986695,2,5,0,-515.75,4.80928,-0.933666,34.7259,31.4194,27.1555,25.0494,23.7073,22.9028,23.4699,22.2492,18.8482,19.6542
514.557,0.907547,0.0986695,5,35,0,-513.34,2.76178,0.259317,22.4712,23.1045,24.0596,24.6051,24.9843,25.2251,25.0543,25.4287,26.6277,26.3198
516.092,1,0.0986695,4,23,0,-514.158,3.17524,-0.028077,23.0414,22.9722,22.8716,22.8162,22.7784,22.7548,22.7715,22.735,22.6219,22.6504
515.859,0.939566,0.0986695,2,7,0,-515.527,3.16691,0.0255954,24.5693,24.6368,24.7355,24.7903,24.8277,24.8512,24.8346,24.8709,24.9843,24.9556
