# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0699728
# Diagonal elements of inverse mass matrix:
# 0.420571, 0.142789
516.007,0.90476,0.0699728,4,19,0,-514.65,3.2984,-0.0435001,25.5238,25.405,25.233,25.1383,25.0739,25.0336,25.0621,24.9998,24.8073,24.8558
516.613,0.80038,0.0699728,5,35,0,-513.99,3.74697,-0.376095,25.5006,24.4932,23.0957,22.3567,21.8662,21.5643,21.7778,21.3143,19.9365,20.2756
516.387,0.999513,0.0699728,5,39,0,-515.76,4.43063,-0.698312,32.6846,30.3278,27.1937,25.6003,24.5673,23.9411,24.3831,23.4283,20.6945,21.3529
516.834,0.953565,0.0699728,2,7,0,-515.968,4.36926,-0.713994,30.0943,27.8774,24.9353,23.4424,22.4757,21.8901,22.3034,21.4108,18.8599,19.4736
516.955,0.987514,0.0699728,4,23,0,-516.629,4.12875,-0.535437,30.1186,28.4389,26.157,24.9737,24.1973,23.723,24.0581,23.3324,21.215,21.7306
516.928,0.938698,0.0699728,2,3,0,-516.429,4.1304,-0.534874,30.1911,28.5092,26.224,25.0388,24.2612,23.7861,24.1218,23.3949,21.2739,21.7904
517.109,0.998952,0.0699728,3,11,0,-516.879,4.17958,-0.584309,29.6634,27.8628,25.4323,24.1793,23.3602,22.8609,23.2136,22.4505,20.2366,20.7739
517.116,0.910563,0.0699728,2,7,0,-516.47,4.12238,-0.564477,28.7754,27.0862,24.8001,23.6188,22.8454,22.3735,22.7068,21.9853,19.8872,20.3971
517.037,1,0.0699728,4,19,0,-516.994,4.25075,-0.621908,30.2736,28.3217,25.6997,24.3543,23.4771,22.9434,23.3203,22.5052,20.1509,20.7208
516.923,0.95877,0.0699728,1,3,0,-516.789,4.2236,-0.634809,28.9536,27.0493,24.4957,23.1874,22.3353,21.8171,22.183,21.3919,19.1102,19.6621
516.413,0.961404,0.0699728,4,27,0,-515.672,4.35556,-0.651706,32.292,30.1135,27.1988,25.7085,24.7391,24.1501,24.5659,23.6669,21.0792,21.7044
517.012,0.845242,0.0699728,4,31,0,-514.72,3.96573,-0.441933,29.0345,27.6915,25.8443,24.8754,24.2354,23.8426,24.1202,23.5181,21.742,22.1773
516.914,0.891469,0.0699728,2,3,0,-516.159,3.95352,-0.485397,27.0457,25.6748,23.8,22.8218,22.1777,21.7832,22.062,21.4578,19.6847,20.118
516.956,0.99868,0.0699728,4,27,0,-516.225,3.5842,-0.240951,26.0124,25.3492,24.4129,23.9095,23.5721,23.3631,23.511,23.1891,22.2173,22.4587
516.96,0.981928,0.0699728,2,3,0,-516.843,3.58361,-0.244094,25.8867,25.2183,24.2748,23.7679,23.4281,23.2176,23.3666,23.0426,22.0646,22.3074
516.695,0.996424,0.0699728,5,37,0,-516.078,4.51193,-0.784126,31.5705,29.0259,25.6797,23.9964,22.9118,22.2571,22.719,21.7224,18.8974,19.5738
516.775,0.963429,0.0699728,3,9,0,-516.417,4.46557,-0.757381,31.2499,28.8136,25.5986,23.9759,22.9285,22.2953,22.7421,21.7778,19.0358,19.6935
516.707,0.748471,0.0699728,2,3,0,-514.864,4.46956,-0.770101,30.84,28.3969,25.1784,23.5564,22.5104,21.8785,22.3243,21.3622,18.6304,19.2851
516.788,0.99505,0.0699728,3,11,0,-516.65,4.41173,-0.737338,30.4249,28.1132,25.0547,23.5072,22.5068,21.9015,22.3287,21.4064,18.778,19.4093
515.993,0.915555,0.0699728,2,3,0,-515.906,4.48481,-0.719373,33.5361,31.0478,27.7477,26.0744,24.9912,24.3352,24.7982,23.7984,20.943,21.6297
517.057,0.989526,0.0699728,5,47,0,-513.745,3.71427,-0.328752,26.3109,25.4001,24.1286,23.4524,23.002,22.7241,22.9207,22.4936,21.2174,21.5325
516.508,0.953134,0.0699728,4,19,0,-516.074,3.31177,-0.0822455,24.5478,24.3324,24.0218,23.8516,23.7361,23.6641,23.7151,23.6038,23.2614,23.3473
516.486,0.880623,0.0699728,5,39,0,-515.269,3.86535,-0.451046,25.9401,24.716,23.0345,22.1535,21.5719,21.2151,21.4673,20.9205,19.3093,19.7039
517.185,0.997371,0.0699728,2,3,0,-516.36,3.91842,-0.438256,27.8307,26.5537,24.7967,23.8747,23.2654,22.8915,23.1558,22.5825,20.8908,21.3054
516.884,0.948146,0.0699728,4,23,0,-516.675,3.83622,-0.36149,28.4368,27.3562,25.8543,25.0587,24.5301,24.2044,24.4347,23.9346,22.4456,22.8125
516.773,0.999996,0.0699728,5,49,0,-516.565,3.54731,-0.203125,26.3849,25.8168,25.0105,24.575,24.2824,24.1007,24.2293,23.9494,23.1004,23.3118
515.603,0.917478,0.0699728,5,43,0,-513.166,4.58036,-0.874259,29.9297,27.2528,23.774,22.0431,20.9353,20.2693,20.7389,19.7272,16.889,17.5644
515.844,0.975252,0.0699728,2,3,0,-515.136,4.60757,-0.793489,34.3025,31.506,27.8332,25.9876,24.7994,24.0824,24.5882,23.4971,20.4072,21.1466
515.121,1,0.0699728,4,19,0,-514.314,4.89991,-0.965511,36.4185,32.8386,28.2412,25.9793,24.5412,23.6805,24.2871,22.9821,19.3591,20.2159
516.387,0.959381,0.0699728,5,39,0,-514.311,3.39195,-0.162418,23.8658,23.454,22.8664,22.5476,22.3326,22.1989,22.2935,22.0874,21.4591,21.616
516.668,0.890155,0.0699728,3,15,0,-515.036,3.52592,-0.186122,26.4271,25.9052,25.1628,24.7611,24.4908,24.3228,24.4417,24.1829,23.3962,23.5923
516.572,0.980091,0.0699728,2,7,0,-516.315,3.44078,-0.184817,24.3131,23.8363,23.1579,22.7908,22.5437,22.3902,22.4989,22.2623,21.5431,21.7224
516.934,0.978957,0.0699728,5,35,0,-515.418,3.73411,-0.352745,25.9819,25.018,23.6768,22.9655,22.4927,22.2012,22.4073,21.9597,20.6256,20.9545
516.417,0.959917,0.0699728,3,11,0,-516.359,3.65269,-0.326048,24.83,23.9774,22.7867,22.1533,21.7314,21.4709,21.6551,21.255,20.0586,20.3541
515.607,0.920327,0.0699728,2,7,0,-515.254,3.79452,-0.300575,29.6158,28.677,27.3617,26.6597,26.1913,25.9018,26.1066,25.6615,24.327,24.6572
514.93,0.921467,0.0699728,2,3,0,-514.41,3.71356,-0.398845,23.916,22.9152,21.5311,20.8013,20.3176,20.0202,20.2305,19.7741,18.4213,18.7538
515.23,0.984961,0.0699728,4,23,0,-513.182,3.12516,-0.0306998,21.8384,21.7667,21.6625,21.6051,21.566,21.5415,21.5589,21.521,21.404,21.4335
515.811,0.876623,0.0699728,2,3,0,-513.862,3.21814,0.00318485,25.0894,25.098,25.1105,25.1174,25.1221,25.1251,25.123,25.1275,25.1418,25.1382
515.811,0.648626,0.0699728,1,3,0,-513.253,3.21814,0.00318485,25.0894,25.098,25.1105,25.1174,25.1221,25.1251,25.123,25.1275,25.1418,25.1382
516.958,0.968093,0.0699728,5,35,0,-514.466,3.65462,-0.269836,26.8416,26.0765,25.0002,24.4237,24.038,23.7994,23.9682,23.6011,22.4962,22.7701
517.138,0.987934,0.0699728,4,29,0,-516.288,3.97076,-0.479275,27.7447,26.3556,24.4545,23.4618,22.8078,22.4072,22.6903,22.0767,20.2745,20.715
517.135,0.964694,0.0699728,4,23,0,-516.73,3.82109,-0.372889,27.5817,26.5012,25.0016,24.2084,23.6818,23.3575,23.5868,23.089,21.6088,21.9732
516.171,0.905172,0.0699728,5,35,0,-515.885,4.35798,-0.645323,32.6507,30.4689,27.5472,26.0522,25.0793,24.4879,24.9054,24.0028,21.4026,22.0311
516.865,0.932406,0.0699728,1,3,0,-515.677,4.30924,-0.682624,29.5685,27.4825,24.7029,23.287,22.3681,21.8106,22.2041,21.3538,18.9147,19.5028
516.169,0.934122,0.0699728,2,3,0,-516.148,4.36052,-0.646839,32.6666,30.4788,27.5496,26.0511,25.0759,24.4833,24.9017,23.9971,21.3918,22.0214
515.803,0.905861,0.0699728,1,1,0,-515.655,4.36513,-0.639842,33.1292,30.9336,27.9913,26.4848,25.5039,24.9076,25.3287,24.4183,21.7943,22.4288
514.121,0.632357,0.0699728,1,1,0,-513.969,4.40384,-0.631599,34.8226,32.5435,29.486,27.9189,26.898,26.2771,26.7155,25.7675,23.0322,23.694
516.884,1,0.0699728,2,3,0,-514.126,4.35028,-0.700375,30.077,27.9021,25.0105,23.5409,22.5883,22.0108,22.4184,21.538,19.0178,19.6247
516.766,0.991783,0.0699728,2,3,0,-516.752,4.39107,-0.691809,31.6939,29.4291,26.4146,24.8809,23.8861,23.2828,23.7087,22.7887,20.1529,20.7879
516.966,0.981684,0.0699728,5,51,0,-515.98,4.30687,-0.652345,30.7308,28.6558,25.8795,24.4602,23.537,22.976,23.3721,22.5159,20.0517,20.6471
516.376,0.973816,0.0699728,5,39,0,-515.979,3.40504,-0.111474,25.9038,25.5962,25.1544,24.9131,24.7498,24.648,24.7201,24.563,24.0812,24.2019
513.519,0.676485,0.0699728,3,15,0,-512.459,3.67606,-0.199783,30.1465,29.5079,28.6012,28.1114,27.7821,27.5777,27.7224,27.4073,26.4515,26.6896
515.786,1,0.0699728,1,1,0,-514.073,3.64943,-0.22336,28.4336,27.7611,26.8092,26.2964,25.9522,25.7388,25.8898,25.5611,24.5666,24.8139
515.721,0.662069,0.0699728,2,7,0,-512.504,3.52128,-0.266286,23.6038,22.9397,22.0051,21.5042,21.1691,20.9617,21.1085,20.7894,19.8287,20.0669
516.316,0.99734,0.0699728,4,23,0,-515.124,3.71474,-0.366917,25,24.036,22.6971,21.9884,21.5176,21.2277,21.4327,20.9875,19.6629,19.9892
516.431,0.999139,0.0699728,4,27,0,-515.52,3.45305,-0.20037,24.1011,23.5891,22.8622,22.4695,22.2055,22.0416,22.1576,21.9051,21.139,21.3298
516.647,0.97723,0.0699728,5,43,0,-515.935,3.98836,-0.51702,26.833,25.3866,23.4169,22.3932,21.7206,21.3093,21.5999,20.9704,19.1298,19.5786
517.138,0.998932,0.0699728,3,11,0,-516.642,3.9745,-0.457328,28.687,27.3149,25.4316,24.4456,23.795,23.396,23.678,23.0666,21.2664,21.7071
517.1,0.927205,0.0699728,2,3,0,-516.627,3.97077,-0.483183,27.5988,26.206,24.3009,23.3065,22.6517,22.2506,22.5341,21.9197,20.1164,20.5571
517.102,0.963564,0.0699728,2,3,0,-516.785,3.98798,-0.461456,28.9146,27.5194,25.6055,24.604,23.9434,23.5383,23.8246,23.2039,21.3773,21.8243
517.147,0.986369,0.0699728,2,3,0,-516.973,3.9728,-0.457447,28.6337,27.2638,25.3835,24.3991,23.7496,23.3513,23.6328,23.0224,21.2252,21.6652
517.001,0.768018,0.0699728,4,27,0,-514.755,4.19855,-0.58224,30.3161,28.4822,26.0061,24.7293,23.8944,23.3855,23.745,22.9671,20.7099,21.2578
517.06,0.991077,0.0699728,3,15,0,-516.831,4.24271,-0.621677,30.0406,28.1043,25.5034,24.1687,23.2986,22.7691,23.143,22.3344,19.9988,20.5642
517.06,0.824415,0.0699728,1,3,0,-516.218,4.24271,-0.621677,30.0406,28.1043,25.5034,24.1687,23.2986,22.7691,23.143,22.3344,19.9988,20.5642
517.126,0.901553,0.0699728,4,31,0,-515.847,3.90078,-0.439495,27.2984,26.0424,24.3145,23.4079,22.8089,22.4412,22.7011,22.1375,20.4746,20.8821
515.479,0.702759,0.0699728,1,3,0,-515.22,3.85826,-0.472964,25.005,23.7692,22.0764,21.1918,20.6088,20.2515,20.504,19.9567,18.3482,18.7415
517.117,0.996599,0.0699728,2,3,0,-515.709,3.90543,-0.415702,28.3218,27.0877,25.3846,24.4884,23.8953,23.5308,23.7885,23.2295,21.5755,21.9816
517.144,0.982356,0.0699728,4,19,0,-516.922,3.95017,-0.444031,28.5052,27.1805,25.3591,24.404,23.7731,23.386,23.6596,23.0662,21.3164,21.7451
517.049,0.999661,0.0699728,5,49,0,-516.177,4.21346,-0.59708,30.1607,28.2912,25.7718,24.4751,23.6282,23.1122,23.4766,22.6883,20.4046,20.9584
517.072,0.98458,0.0699728,2,7,0,-516.875,4.16524,-0.59182,28.9459,27.167,24.7681,23.5326,22.7253,22.2334,22.5808,21.8291,19.6503,20.1788
516.635,0.953174,0.0699728,2,3,0,-516.614,4.21293,-0.571694,31.1968,29.3427,26.8359,25.5417,24.6948,24.1782,24.5431,23.7534,21.4591,22.0164
516.536,0.999977,0.0699728,4,23,0,-515.747,4.59477,-0.831654,32.1636,29.4209,25.8366,24.044,22.893,22.1998,22.6888,21.6346,18.6627,19.372
515.121,0.793658,0.0699728,3,11,0,-514.293,4.76446,-0.875014,35.9429,32.7255,28.5447,26.4648,25.1336,24.3334,24.8977,23.6821,20.2721,21.0835
515.089,0.958765,0.0699728,2,3,0,-514.502,4.61353,-0.904965,29.6815,26.938,23.3868,21.6266,20.5026,19.8279,20.3036,19.2792,16.4157,17.0956
515.055,0.970671,0.0699728,5,39,0,-513.881,3.41968,-0.219737,22.708,22.1795,21.4311,21.0278,20.757,20.589,20.7079,20.4492,19.6662,19.861
