# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0879736
# Diagonal elements of inverse mass matrix:
# 0.258552, 0.0868116
516.884,0.999957,0.0879736,5,55,0,-516.784,3.52672,-0.21351,25.4871,24.9106,24.0934,23.6527,23.3567,23.1731,23.3031,23.0202,22.1632,22.3765
516.922,0.982412,0.0879736,5,39,0,-516.461,4.22898,-0.637641,28.9984,27.0829,24.5153,23.2003,22.344,21.8233,22.1909,21.3961,19.1043,19.6585
516.048,0.891154,0.0879736,2,7,0,-515.962,4.26985,-0.587979,32.3052,30.3323,27.6705,26.2989,25.4025,24.8562,25.2421,24.4071,21.986,22.5735
516.377,0.996727,0.0879736,2,3,0,-515.869,4.21611,-0.654777,27.9723,26.0767,23.5414,22.2456,21.4029,20.8909,21.2524,20.471,18.2228,18.7658
516.376,0.9984,0.0879736,2,7,0,-516.353,4.27598,-0.601177,31.9292,29.9369,27.2535,25.8731,24.9717,24.4228,24.8105,23.9717,21.5432,22.1319
516.184,0.97331,0.0879736,5,43,0,-513.778,3.92027,-0.49221,25.9216,24.5897,22.7699,21.8212,21.1968,20.8145,21.0846,20.4992,18.7826,19.2019
513.583,0.799379,0.0879736,2,7,0,-513.23,3.99948,-0.385342,32.4178,31.1063,29.2891,28.3293,27.6927,27.301,27.578,26.9767,25.1915,25.6307
516.155,1,0.0879736,1,1,0,-514.252,3.95761,-0.406129,30.2275,28.94,27.1611,26.2239,25.6032,25.2216,25.4913,24.9059,23.172,23.598
516.719,0.943051,0.0879736,4,31,0,-514.944,3.63752,-0.24596,27.2519,26.5429,25.5424,25.005,24.6448,24.4217,24.5796,24.2362,23.1998,23.4572
516.344,0.96161,0.0879736,4,27,0,-514.009,3.38504,-0.159952,23.7806,23.3765,22.7996,22.4865,22.2753,22.144,22.237,22.0344,21.417,21.5712
515.898,0.880419,0.0879736,2,3,0,-515.084,3.3568,-0.158976,23.1491,22.7581,22.1999,21.8968,21.6924,21.5653,21.6553,21.4592,20.8616,21.0109
516.1,1,0.0879736,1,1,0,-515.847,3.35789,-0.152579,23.3754,22.9963,22.4547,22.1604,21.9619,21.8383,21.9258,21.7352,21.1539,21.2992
517.183,0.908296,0.0879736,5,47,0,-514.841,3.99987,-0.480654,28.5112,27.0797,25.121,24.0984,23.4248,23.0122,23.3038,22.6717,20.8159,21.2695
514.409,0.836794,0.0879736,5,47,0,-513.316,4.7916,-1.01443,30.5893,27.4381,23.4172,21.4508,20.205,19.4611,19.9853,18.8585,15.7481,16.4812
516.001,0.987863,0.0879736,2,7,0,-513.878,4.77547,-0.952111,32.7447,29.5683,25.4821,23.4683,22.1867,21.4192,21.9602,20.7961,17.5595,18.3256
516.113,0.980274,0.0879736,3,7,0,-515.863,4.74877,-0.93272,32.7286,29.6152,25.5999,23.6164,22.3523,21.5946,22.1287,20.979,17.7751,18.5344
515.581,0.880702,0.0879736,4,23,0,-514.256,4.48263,-0.822808,29.0975,26.6415,23.4282,21.8194,20.7858,20.1629,20.6023,19.655,16.9817,17.6201
515.609,0.873277,0.0879736,2,3,0,-513.689,4.44851,-0.80367,28.8583,26.4768,23.3531,21.7854,20.7768,20.1685,20.5976,19.6721,17.0544,17.6803
516.151,0.998472,0.0879736,3,15,0,-515.176,4.49659,-0.813165,29.8936,27.3988,24.1305,22.4921,21.4388,20.8038,21.2518,20.2858,17.5568,18.2089
516.599,0.969569,0.0879736,5,39,0,-515.01,3.73366,-0.292809,28.1611,27.2911,26.071,25.4192,24.984,24.7149,24.9053,24.4916,23.25,23.5573
517.094,0.974809,0.0879736,4,31,0,-515.397,3.92231,-0.455414,27.2988,25.9984,24.2132,23.2782,22.6613,22.2829,22.5503,21.9704,20.2627,20.6808
516.848,0.907066,0.0879736,1,3,0,-516.459,3.96508,-0.43298,29.3687,28.0371,26.2035,25.2406,24.6042,24.2134,24.4897,23.8905,22.1215,22.5553
