# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:37:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmp3g0x3jh1/x7bkrd9n.json
# init = 2 (Default)
# random
#   seed = 59206
# output
#   file = /home/lab5/output/model-20230502193727_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0816661
# Diagonal elements of inverse mass matrix:
# 0.305963, 0.104787
513.922,0.966965,0.0816661,2,3,0,-513.908,2.60945,0.347747,21.7455,22.5712,23.8312,24.5587,25.0676,25.392,25.1617,25.6673,27.3032,26.8807
513.325,0.984781,0.0816661,3,11,0,-513.164,2.45246,0.371103,19.1822,19.9605,21.1518,21.8415,22.3249,22.6333,22.4143,22.8953,24.4558,24.0521
512.762,0.97017,0.0816661,3,11,0,-511.751,2.28763,0.514587,19.7483,20.868,22.6147,23.6436,24.3722,24.8404,24.5078,25.2399,27.6564,27.0255
512.603,0.896293,0.0816661,2,3,0,-512.102,2.33249,0.507811,20.466,21.6107,23.3948,24.4448,25.1881,25.6655,25.3263,26.0728,28.5347,27.8921
512.548,0.927311,0.0816661,3,11,0,-511.681,2.28082,0.528812,19.9949,21.1608,22.983,24.0582,24.8204,25.3105,24.9623,25.7289,28.2636,27.6012
511.971,0.939488,0.0816661,2,3,0,-511.916,2.23076,0.486083,17.9515,18.9115,20.4033,21.2791,21.898,22.2952,22.013,22.6337,24.6754,24.1433
512.307,0.998025,0.0816661,3,11,0,-511.406,2.22111,0.559417,19.6315,20.8444,22.7479,23.8753,24.6762,25.1919,24.8254,25.6327,28.3114,27.6099
510.668,0.997445,0.0816661,3,11,0,-510.466,1.93693,0.722764,18.425,19.9089,22.2885,23.7258,24.7591,25.4297,24.9527,26.006,29.5696,28.6264
511.071,0.981395,0.0816661,3,9,0,-510.411,1.96854,0.662176,17.5216,18.8103,20.8601,22.0893,22.9691,23.5385,23.1336,24.0268,27.0266,26.2358
511.664,0.999791,0.0816661,2,7,0,-510.752,2.10952,0.624942,19.1843,20.5132,22.6167,23.8724,24.7688,25.3478,24.9362,25.8438,28.8788,28.0806
511.55,0.903223,0.0816661,2,3,0,-510.893,2.06225,0.604184,17.7924,18.9826,20.8614,21.9802,22.7776,23.2922,22.9264,23.7326,26.4221,25.7158
512.944,0.9979,0.0816661,3,11,0,-511.13,2.30405,0.494765,19.5446,20.6089,22.2649,23.238,23.9262,24.3679,24.0541,24.7446,27.0184,26.4254
512.482,0.999688,0.0816661,2,7,0,-512.25,2.21012,0.544169,19.0209,20.1632,21.9521,23.0096,23.7601,24.243,23.8999,24.6556,27.1585,26.5037
512.084,0.957467,0.0816661,2,3,0,-512.017,2.21501,0.571551,19.8347,21.0876,23.057,24.225,25.0556,25.5908,25.2104,26.0483,28.8326,28.1029
