# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0995168
# Diagonal elements of inverse mass matrix:
# 0.242407, 0.0828413
516.866,1,0.0995168,3,15,0,-516.039,4.40629,-0.716224,31.1357,28.8352,25.783,24.2348,23.2323,22.6251,23.0537,22.1282,19.484,20.1201
517.024,0.967774,0.0995168,4,25,0,-516.43,3.93479,-0.424901,28.8052,27.5229,25.7554,24.8264,24.2119,23.8345,24.1013,23.5225,21.8121,22.2317
517.136,0.67733,0.0995168,2,3,0,-514.671,3.85791,-0.412058,27.1408,25.9684,24.3495,23.4973,22.9331,22.5863,22.8315,22.2996,20.7253,21.1118
516.907,0.969504,0.0995168,2,3,0,-516.881,3.89367,-0.394904,28.7885,27.5955,25.9446,25.0737,24.4964,24.1413,24.3924,23.8475,22.2316,22.6289
515.54,0.892953,0.0995168,4,27,0,-514.872,4.45492,-0.808886,28.8398,26.445,23.306,21.7317,20.7192,20.1087,20.5394,19.6106,16.9853,17.6129
516.513,0.991761,0.0995168,4,23,0,-514.516,4.0873,-0.491995,30.6428,29.0689,26.9185,25.7974,25.0596,24.6078,24.9271,24.2353,22.2067,22.7021
517.187,1,0.0995168,3,15,0,-516.527,3.96723,-0.467493,28.0907,26.718,24.8364,23.8525,23.2038,22.8062,23.0872,22.4779,20.6863,21.1246
516.731,0.992183,0.0995168,5,51,0,-516.388,4.49374,-0.771244,31.5461,29.0435,25.7471,24.0861,23.015,22.368,22.8245,21.8394,19.0427,19.7129
516.883,0.990687,0.0995168,5,47,0,-515.576,3.56388,-0.220442,26.2055,25.5936,24.7273,24.2605,23.9471,23.7527,23.8902,23.5909,22.6847,22.9101
516.936,0.966351,0.0995168,4,31,0,-515.76,3.92771,-0.415731,28.9589,27.6969,25.9554,25.039,24.4325,24.0598,24.3233,23.7517,22.0604,22.4756
516.586,0.857515,0.0995168,2,3,0,-515.961,3.87119,-0.451056,26.0917,24.8604,23.169,22.2828,21.6978,21.339,21.5926,21.0426,19.422,19.8189
515.999,0.986786,0.0995168,4,23,0,-515.421,3.33722,-0.0626828,25.8551,25.682,25.4317,25.2943,25.2009,25.1426,25.1839,25.0938,24.8158,24.8857
515.69,0.911479,0.0995168,1,1,0,-515.58,3.34089,-0.0551197,26.2168,26.0623,25.8389,25.7161,25.6326,25.5804,25.6174,25.5367,25.2878,25.3504
516.439,0.995205,0.0995168,4,19,0,-515.577,3.62876,-0.310628,24.7534,23.9429,22.8088,22.2044,21.8013,21.5523,21.7284,21.3457,20.1995,20.4829
516.873,0.996255,0.0995168,5,43,0,-516.214,4.404,-0.719683,30.9197,28.6246,25.5809,24.0376,23.0386,22.4336,22.8606,21.9385,19.3052,19.9384
516.429,0.856869,0.0995168,4,23,0,-515.596,3.99403,-0.434736,30.1597,28.7868,26.8968,25.9045,25.2488,24.8461,25.1307,24.5134,22.6912,23.138
516.544,0.587053,0.0995168,2,3,0,-513.218,3.99628,-0.439611,30.0291,28.6472,26.746,25.7484,25.0894,24.6848,24.9708,24.3506,22.521,22.9695
